ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-22,2514.7828267026803,2501.6099597203965,2871.6964961719177,2514.7828267026803,2514.7828267026803,171.93608271971112,171.93608271971112,171.93608271971112,-93.6671688,-93.6671688,-93.6671688,-5.305689283766329,-5.305689283766329,-5.305689283766329,270.9089408034775,270.9089408034775,270.9089408034775,0.0,0.0,0.0,2686.7189094223913
2023-12-27,2533.3720090670963,2475.195627910543,2856.4382323555574,2533.3720090670963,2533.3720090670963,136.2406480141145,136.2406480141145,136.2406480141145,-93.6671688,-93.6671688,-93.6671688,-1.684331378066708,-1.684331378066708,-1.684331378066708,231.59214819218118,231.59214819218118,231.59214819218118,0.0,0.0,0.0,2669.6126570812107
2023-12-28,2537.0898455399793,2475.957924635654,2853.1872092248836,2537.0898455399793,2537.0898455399793,123.6716742925868,123.6716742925868,123.6716742925868,-93.6671688,-93.6671688,-93.6671688,-4.270588019987365,-4.270588019987365,-4.270588019987365,221.60943111257416,221.60943111257416,221.60943111257416,0.0,0.0,0.0,2660.761519832566
2023-12-29,2540.8076820128626,2475.725959916004,2839.6187788981156,2540.8076820128626,2540.8076820128626,112.22483841719024,112.22483841719024,112.22483841719024,-93.6671688,-93.6671688,-93.6671688,-5.3056892837278395,-5.3056892837278395,-5.3056892837278395,211.19769650091806,211.19769650091806,211.19769650091806,0.0,0.0,0.0,2653.032520430053
2024-01-02,2555.6790279043944,2432.9299355181106,2826.3639607865466,2555.6790279043944,2555.6790279043944,71.79601951704265,71.79601951704265,71.79601951704265,-93.6671688,-93.6671688,-93.6671688,-2.199753463859435,-2.199753463859435,-2.199753463859435,167.66294178090206,167.66294178090206,167.66294178090206,0.0,0.0,0.0,2627.475047421437
2024-01-03,2559.3968643772787,2422.050466833193,2807.6807010258917,2559.3968643772787,2559.3968643772787,61.496412461934426,61.496412461934426,61.496412461934426,-93.6671688,-93.6671688,-93.6671688,-1.6843313780749625,-1.6843313780749625,-1.6843313780749625,156.84791264000935,156.84791264000935,156.84791264000935,0.0,0.0,0.0,2620.8932768392133
2024-01-04,2563.1147008501607,2431.0939911999917,2793.4987577196325,2563.1147008501607,2563.1147008501607,48.29994418508906,48.29994418508906,48.29994418508906,-93.6671688,-93.6671688,-93.6671688,-4.270588019997677,-4.270588019997677,-4.270588019997677,146.2377010050867,146.2377010050867,146.2377010050867,0.0,0.0,0.0,2611.4146450352496
2024-01-05,2566.832537323044,2414.9752446582984,2792.796694682952,2566.832537323044,2566.832537323044,36.92264964969316,36.92264964969316,36.92264964969316,-93.6671688,-93.6671688,-93.6671688,-5.305689283745319,-5.305689283745319,-5.305689283745319,135.89550773343845,135.89550773343845,135.89550773343845,0.0,0.0,0.0,2603.755186972737
2024-01-08,2577.986046741694,2389.434058291901,2774.7068701777844,2577.986046741694,2577.986046741694,3.2270147905724165,3.2270147905724165,3.2270147905724165,-93.6671688,-93.6671688,-93.6671688,-9.956461490975466,-9.956461490975466,-9.956461490975466,106.8506450815479,106.8506450815479,106.8506450815479,0.0,0.0,0.0,2581.2130615322662
2024-01-09,2581.7038832145768,2401.909768150172,2776.0535828745333,2581.7038832145768,2581.7038832145768,1.9984067657228852,1.9984067657228852,1.9984067657228852,-93.6671688,-93.6671688,-93.6671688,-2.1997534638516254,-2.1997534638516254,-2.1997534638516254,97.86532902957453,97.86532902957453,97.86532902957453,0.0,0.0,0.0,2583.7022899802996
2024-01-10,2585.42171968746,2398.374576731551,2759.671842305301,2585.42171968746,2585.42171968746,-6.148631066493441,-6.148631066493441,-6.148631066493441,-93.6671688,-93.6671688,-93.6671688,-1.6843313780643632,-1.6843313780643632,-1.6843313780643632,89.20286911157092,89.20286911157092,89.20286911157092,0.0,0.0,0.0,2579.2730886209665
2024-01-11,2589.1395561603435,2388.936117306338,2765.4593079232704,2589.1395561603435,2589.1395561603435,-17.11330703744781,-17.11330703744781,-17.11330703744781,-93.6671688,-93.6671688,-93.6671688,-4.27058801998995,-4.27058801998995,-4.27058801998995,80.82444978254213,80.82444978254213,80.82444978254213,0.0,0.0,0.0,2572.026249122896
2024-01-12,2592.8573926332256,2389.5551647549405,2759.256003729384,2592.8573926332256,2592.8573926332256,-26.294911188204022,-26.294911188204022,-26.294911188204022,-93.6671688,-93.6671688,-93.6671688,-5.305689283752978,-5.305689283752978,-5.305689283752978,72.67794689554896,72.67794689554896,72.67794689554896,0.0,0.0,0.0,2566.5624814450216
2024-01-15,2604.0109020518753,2377.311395193714,2740.962203151173,2604.0109020518753,2604.0109020518753,-54.66292261863648,-54.66292261863648,-54.66292261863648,-93.6671688,-93.6671688,-93.6671688,-9.956461490985703,-9.956461490985703,-9.956461490985703,48.96070767234923,48.96070767234923,48.96070767234923,0.0,0.0,0.0,2549.347979433239
2024-01-16,2607.7287385247582,2373.3880400964017,2743.507483388353,2607.7287385247582,2607.7287385247582,-54.8234608814176,-54.8234608814176,-54.8234608814176,-93.6671688,-93.6671688,-93.6671688,-2.1997534638438174,-2.1997534638438174,-2.1997534638438174,41.043461382426216,41.043461382426216,41.043461382426216,0.0,0.0,0.0,2552.9052776433405
2024-01-17,2611.4465749976425,2373.7449095738575,2730.4560653156086,2611.4465749976425,2611.4465749976425,-62.360727876284564,-62.360727876284564,-62.360727876284564,-93.6671688,-93.6671688,-93.6671688,-1.6843313780726181,-1.6843313780726181,-1.6843313780726181,32.99077230178804,32.99077230178804,32.99077230178804,0.0,0.0,0.0,2549.085847121358
2024-01-18,2615.164411470525,2342.3515199475937,2736.67664416342,2615.164411470525,2615.164411470525,-73.20822660904558,-73.20822660904558,-73.20822660904558,-93.6671688,-93.6671688,-93.6671688,-4.270588020000261,-4.270588020000261,-4.270588020000261,24.729530210954664,24.729530210954664,24.729530210954664,0.0,0.0,0.0,2541.9561848614794
